ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20200731,30.63,2.8902,1.05,45.7215,7.4182,11.7863,741910.671,522263.7068
300590.SZ,20200730,30.18,2.6814,0.89,45.0498,7.3093,11.6132,731010.906,514590.8805
300590.SZ,20200729,30.03,2.4907,0.81,44.8259,7.2729,11.5555,727377.651,512033.2718
300590.SZ,20200728,28.89,2.0046,0.6,43.1242,6.9968,11.1168,699764.913,492595.4453
300590.SZ,20200727,28.74,2.4828,0.71,42.9003,6.9605,11.0591,696131.658,490037.8365
300590.SZ,20200724,29.57,4.1668,1.13,44.1393,7.1615,11.3785,716235.669,504189.9383
300590.SZ,20200723,31.56,3.8516,0.94,47.1097,7.6435,12.1442,764436.852,538120.881
300590.SZ,20200722,31.12,2.848,0.57,46.4529,7.5369,11.9749,753779.304,530618.562
300590.SZ,20200721,31.23,3.2665,0.57,46.6171,7.5636,12.0172,756443.691,532494.1418
300590.SZ,20200720,30.7,3.4008,0.57,45.826,7.4352,11.8133,743606.19,523457.2575
300590.SZ,20200717,29.68,5.0193,0.85,44.3034,7.1882,11.4208,718900.056,506065.518
300590.SZ,20200716,30.21,5.9805,1.01,45.0946,7.3165,11.6247,731737.557,515102.4023
300590.SZ,20200715,32.86,7.2026,1.28,49.0502,7.9583,12.6444,795925.062,560286.8235
300590.SZ,20200714,35.25,6.898,1.24,52.6178,8.5371,13.5641,853814.925,601038.0563
300590.SZ,20200713,37.46,4.6933,0.79,55.9167,9.0724,14.4145,907344.882,638720.1585
300590.SZ,20200710,36.61,4.7117,0.77,54.6479,8.8665,14.0874,886756.437,624227.0423
300590.SZ,20200709,37.27,6.1984,1.04,55.6331,9.0264,14.3414,902742.759,635480.5208
300590.SZ,20200708,35.95,5.5502,0.92,53.6627,8.7067,13.8335,870770.115,612973.5638
300590.SZ,20200707,35.68,6.7374,1.12,53.2597,8.6413,13.7296,864230.256,608369.868
300590.SZ,20200706,34.45,6.5829,1.21,51.4236,8.3434,13.2563,834437.565,587397.4763
300590.SZ,20200703,32.64,5.36,1.04,48.7219,7.905,12.5598,790596.288,556535.664
300590.SZ,20200702,33.38,5.5985,1.21,49.8265,8.0843,12.8445,808520.346,569153.2005
300590.SZ,20200701,33.1,5.9454,1.45,49.4085,8.0164,12.7368,801738.27,564378.9975
300590.SZ,20200630,32.56,6.522,1.71,48.6024,7.8857,12.529,788658.552,555171.606
300590.SZ,20200629,48.4,5.6831,0.94,48.1646,7.6298,12.4161,781553.52,550170.06
300590.SZ,20200624,48.92,5.867,0.99,48.682,7.7118,12.5495,789950.376,556080.978
300590.SZ,20200623,46.87,4.5097,0.71,46.642,7.3886,12.0236,756847.386,532778.3205
300590.SZ,20200622,47.41,4.9335,0.81,47.1794,7.4738,12.1622,765567.198,538916.5815
300590.SZ,20200619,47.59,7.6114,1.42,47.3585,7.5021,12.2083,768473.802,540962.6685
300590.SZ,20200618,46.49,7.201,1.54,46.2673,7.3283,11.927,750767.01,528458.8035
300590.SZ,20200617,44.12,5.387,1.32,43.9087,6.9547,11.319,712493.88,501518.658
300590.SZ,20200616,45.2,6.8158,2.11,44.9835,7.125,11.5961,729934.8,513795.18
300590.SZ,20200615,42.07,3.6086,1.16,41.8685,6.6316,10.7931,679388.43,478216.0005
300590.SZ,20200612,43.1,3.6991,1.24,42.8935,6.7939,11.0573,696021.9,489924.165
300590.SZ,20200611,42.53,3.8929,1.39,42.3263,6.7041,10.9111,686816.97,483444.8895
300590.SZ,20200610,42.4,2.3908,0.71,42.1969,6.6836,10.8777,684717.6,481967.16
300590.SZ,20200609,42.6,2.5966,0.73,42.3959,6.7151,10.9291,687947.4,484240.59
300590.SZ,20200608,43.25,2.9267,0.76,43.0428,6.8176,11.0958,698444.25,491629.2375
300590.SZ,20200605,42.94,3.1218,0.85,42.7343,6.7687,11.0163,693438.06,488105.421
300590.SZ,20200604,43.0,2.9832,0.81,42.794,6.7782,11.0317,694407.0,488787.45
300590.SZ,20200603,43.55,5.2817,1.63,43.3414,6.8649,11.1728,703288.95,495039.3825
300590.SZ,20200602,42.63,3.4824,1.12,42.4258,6.7198,10.9368,688431.87,484581.6045
300590.SZ,20200601,42.1,4.4771,1.6,41.8983,6.6363,10.8008,679872.9,478557.015
300590.SZ,20200529,39.45,2.1877,0.73,39.261,6.2186,10.1209,637078.05,448434.0675
300590.SZ,20200528,40.03,3.0808,0.99,39.8382,6.31,10.2697,646444.47,455027.0145
300590.SZ,20200527,39.35,3.0127,0.9,39.1615,6.2028,10.0953,635463.15,447297.3525
300590.SZ,20200526,40.46,2.7283,0.79,40.2662,6.3778,10.38,653388.54,459914.889
300590.SZ,20200525,39.16,2.9924,0.76,38.9724,6.1729,10.0465,632394.84,445137.594
300590.SZ,20200522,40.4,3.1431,0.75,40.2065,6.3683,10.3646,652419.6,459232.86
300590.SZ,20200521,41.59,3.6724,0.89,41.3908,6.5559,10.6699,671636.91,472759.7685
300590.SZ,20200520,43.25,4.227,1.05,43.0428,6.8176,11.0958,698444.25,491629.2375
300590.SZ,20200519,43.5,3.214,0.78,43.2916,6.857,11.16,702481.5,494471.025
300590.SZ,20200518,42.48,5.4435,1.24,42.2765,6.6962,10.8983,686009.52,482876.532
300590.SZ,20200515,44.0,4.4051,0.79,43.7892,6.9358,11.2882,710556.0,500154.6
300590.SZ,20200514,43.53,3.3775,0.55,43.3215,6.8617,11.1677,702965.97,494812.0395
300590.SZ,20200513,44.29,3.6208,0.49,44.0778,6.9815,11.3626,715239.21,503451.0735
300590.SZ,20200512,44.02,3.7968,0.46,43.8091,6.939,11.2934,710878.98,500381.943
300590.SZ,20200511,44.39,6.7638,0.92,44.1774,6.9973,11.3883,716854.11,504587.7885
300590.SZ,20200508,44.73,10.1849,1.67,44.5157,7.0509,11.4755,722344.77,508452.6195
300590.SZ,20200507,42.32,6.5075,1.2,42.1173,6.671,10.8572,683425.68,481057.788
300590.SZ,20200506,43.22,9.7991,2.43,43.013,6.8128,11.0881,697959.78,491288.223
300590.SZ,20200430,41.28,7.6428,2.45,41.0823,6.507,10.5904,666630.72,469235.952
300590.SZ,20200429,37.53,2.7639,0.85,37.3502,5.9159,9.6283,606071.97,426609.1395
300590.SZ,20200428,37.25,3.8649,1.23,37.0716,5.8718,9.5565,601550.25,423426.3375
300590.SZ,20200427,38.26,3.1637,0.95,49.5874,6.1777,12.9742,617860.74,424461.0312
300590.SZ,20200424,38.23,2.8425,0.7,49.5485,6.1729,12.9641,617376.27,424128.2076
300590.SZ,20200423,38.88,3.1803,0.76,50.391,6.2779,13.1845,627873.12,431339.3856
300590.SZ,20200422,39.97,3.4749,0.75,51.8037,6.4539,13.5541,645475.53,443431.9764
300590.SZ,20200421,39.48,3.49,0.71,51.1686,6.3747,13.3879,637562.52,437995.8576
300590.SZ,20200420,39.63,3.6721,0.69,51.363,6.399,13.4388,639984.87,439659.9756
300590.SZ,20200417,39.33,6.4383,1.01,50.9742,6.3505,13.3371,635140.17,436331.7396
300590.SZ,20200416,38.7,3.9579,0.59,50.1577,6.2488,13.1234,624966.3,429342.444
300590.SZ,20200415,38.13,5.5388,0.79,49.4189,6.1568,12.9301,615761.37,423018.7956
300590.SZ,20200414,38.23,5.0049,0.68,49.5485,6.1729,12.9641,617376.27,424128.2076
300590.SZ,20200413,37.31,5.8136,0.81,48.3562,6.0244,12.6521,602519.19,413921.6172
300590.SZ,20200410,38.49,11.5156,1.78,49.8855,6.2149,13.0522,621575.01,427012.6788
300590.SZ,20200409,42.77,5.8091,0.91,55.4327,6.906,14.5036,690692.73,474495.5124
300590.SZ,20200408,43.12,6.997,1.16,55.8863,6.9625,14.6223,696344.88,478378.4544
300590.SZ,20200407,42.8,6.7493,1.19,55.4715,6.9108,14.5138,691177.2,474828.336
300590.SZ,20200403,41.2,4.7026,0.84,53.3978,6.6525,13.9712,665338.8,457077.744
300590.SZ,20200402,42.2,8.157,1.74,54.6939,6.8139,14.3103,681487.8,468171.864
300590.SZ,20200401,39.26,5.2877,1.14,50.8835,6.3392,13.3133,634009.74,435555.1512
300590.SZ,20200331,39.88,5.2726,1.19,51.687,6.4393,13.5236,644022.12,442433.5056
300590.SZ,20200330,41.06,4.8255,1.15,53.2164,6.6299,13.9237,663077.94,455524.5672
300590.SZ,20200327,43.43,4.592,1.16,56.2881,7.0125,14.7274,701351.07,481817.6316
300590.SZ,20200326,44.8,3.4382,0.83,58.0637,7.2337,15.192,723475.2,497016.576
300590.SZ,20200325,45.71,5.0382,1.31,59.2431,7.3807,15.5006,738170.79,507112.2252
300590.SZ,20200324,45.55,4.3073,1.14,59.0357,7.3548,15.4463,735586.95,505337.166
300590.SZ,20200323,45.78,3.6941,0.89,59.3338,7.392,15.5243,739301.22,507888.8136
300590.SZ,20200320,48.88,3.2407,0.74,63.3516,7.8925,16.5755,789363.12,542280.5856
300590.SZ,20200319,49.25,4.4066,1.04,63.8312,7.9523,16.701,795338.25,546385.41
300590.SZ,20200318,47.3,3.5476,0.78,61.3038,7.6374,16.0398,763847.7,524751.876
300590.SZ,20200317,47.88,4.0221,0.8,62.0556,7.7311,16.2364,773214.12,531186.4656
300590.SZ,20200316,48.27,5.6422,1.23,62.561,7.794,16.3687,779512.23,535513.1724
300590.SZ,20200313,53.63,4.1798,0.96,69.5079,8.6595,18.1863,866070.87,594977.6556
300590.SZ,20200312,55.8,3.8475,0.85,72.3204,9.0099,18.9222,901114.2,619051.896
300590.SZ,20200311,56.72,5.0795,1.18,73.5128,9.1584,19.2341,915971.28,629258.4864
300590.SZ,20200310,55.96,6.4251,1.52,72.5277,9.0357,18.9764,903698.04,620826.9552
300590.SZ,20200309,52.99,3.3573,0.72,68.6784,8.5562,17.9693,855735.51,587877.4188
300590.SZ,20200306,54.53,3.1295,0.64,70.6744,8.8048,18.4915,880604.97,604962.3636
