review_rank,analysis_group_id,company,symbol,event_date,title,primary_category,manual_review_status,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_confidence,manual_note_label,manual_reviewer,manual_review_date,keep_code,noise_code,category_code,confidence_code,note_code,review_reason,suggested_action
11,300590|2020-10-17|其他,移为通信,300590,2020-10-17,关于公司董事会换届选举的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
12,300590|2021-12-17|其他,移为通信,300590,2021-12-17,关于完成工商变更登记并换发营业执照的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
13,300590|2020-12-18|其他,移为通信,300590,2020-12-18,关于召开公司2021年第一次临时股东大会的通知,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
14,300590|2026-03-30|其他,移为通信,300590,2026-03-30,第四届董事会第二十二次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
15,300590|2020-12-10|其他,移为通信,300590,2020-12-10,关于完成工商变更登记并换发营业执照的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
16,300590|2024-10-09|其他,移为通信,300590,2024-10-09,2024年第二次临时股东大会决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
17,300590|2024-04-03|其他,移为通信,300590,2024-04-03,关于香港全资子公司增资完成的公告,其他,reclassified,1,0,客户/订单,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,5,2,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
18,300590|2026-03-27|其他,移为通信,300590,2026-03-27,2026年第二次临时股东会决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
19,300590|2021-10-20|其他,移为通信,300590,2021-10-20,关于全资子公司完成增资工商变更登记的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
20,300590|2024-03-29|其他,移为通信,300590,2024-03-29,第四届监事会第二次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
21,300590|2026-04-23|其他,移为通信,300590,2026-04-23,关于“质量回报双提升”行动方案的进展公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
22,300590|2020-11-18|其他,移为通信,300590,2020-11-18,关于公司申请向特定对象发行股票的发行注册环节反馈意见落实函回复报告,其他,reclassified,1,0,风险事件,大致确定,标题像流程公告，但可能包含重大事项,user_numeric_review,2026-06-14,1,0,7,2,3,category_other|subject_company|overlap_dirty_p20,优先人工重分类
23,002970|2019-12-17|其他,锐明技术,2970,2019-12-17,关于“N锐明”盘中临时停牌的公告,其他,noise,0,1,交易机制/IPO,很确定,极端标签但事件本身可信,user_numeric_review,2026-06-14,0,1,8,1,1,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
24,603236|2019-07-16|其他,移远通信,603236,2019-07-16,关于N移远(603236)盘中临时停牌的公告,其他,noise,0,1,交易机制/IPO,很确定,极端标签但事件本身可信,user_numeric_review,2026-06-14,0,1,8,1,1,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
25,300590|2020-10-23|其他,移为通信,300590,2020-10-23,关于公司申请向特定对象发行股票的审核中心意见落实函回复报告,其他,reclassified,1,0,风险事件,大致确定,标题像流程公告，但可能包含重大事项,user_numeric_review,2026-06-14,1,0,7,2,3,category_other|subject_company|overlap_dirty_p20,优先人工重分类
26,300098|2015-06-12|其他,高新兴,300098,2015-06-12,关于公司股票交易异常波动公告(2015-6-12),其他,noise,0,1,交易机制/IPO,很确定,极端标签但事件本身可信,user_numeric_review,2026-06-14,0,1,8,1,1,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
27,300098|2015-06-11|其他,高新兴,300098,2015-06-11,关于公司第三届董事第二十一次会议决议公告的更正公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
28,300098|2015-05-01|其他,高新兴,300098,2015-05-01,关于公司子公司讯美电子完成工商变更登记的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
