ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
002151.SZ,20201218,1,0.2,0.0,50773.0,0.0
002151.SZ,20201218,1,0.2,0.0,50773.0,0.0
002151.SZ,20201211,1,0.2,0.0,50773.0,0.0
002151.SZ,20201211,1,0.2,0.0,50773.0,0.0
002151.SZ,20201204,1,0.2,0.0,50773.0,0.0
002151.SZ,20201204,1,0.2,0.0,50773.0,0.0
002151.SZ,20201127,1,0.2,0.0,50773.0,0.0
002151.SZ,20201127,1,0.2,0.0,50773.0,0.0
002151.SZ,20201120,2,0.35,0.0,50773.0,0.0
002151.SZ,20201120,2,0.35,0.0,50773.0,0.0
002151.SZ,20201113,3,0.6,0.0,50773.0,0.0
002151.SZ,20201113,3,0.6,0.0,50773.0,0.0
002151.SZ,20201106,3,0.6,0.0,50773.0,0.0
002151.SZ,20201106,3,0.6,0.0,50773.0,0.0
002151.SZ,20201030,4,1.31,0.0,50773.0,0.0
002151.SZ,20201023,4,1.31,0.0,49134.12,0.0
002151.SZ,20201016,4,1.31,0.0,49134.12,0.0
002151.SZ,20201009,4,1.31,0.0,49134.12,0.0
002151.SZ,20200930,4,1.31,0.0,49134.12,0.0
002151.SZ,20200925,4,1.31,0.0,49134.12,0.0
002151.SZ,20200918,4,1.31,0.0,49134.12,0.0
002151.SZ,20200911,4,1.31,0.0,49134.12,0.0
002151.SZ,20200904,4,1.31,0.0,49134.12,0.0
002151.SZ,20200828,4,1.31,0.0,49134.12,0.0
002151.SZ,20200821,4,1.31,0.0,49134.12,0.0
002151.SZ,20200814,5,1301.31,0.0,48990.88,2.66
002151.SZ,20200807,13,1301.57,0.0,48990.88,2.66
002151.SZ,20200731,13,1301.57,0.0,48990.88,2.66
002151.SZ,20200724,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200717,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200710,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200703,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200624,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200619,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200612,13,1301.57,0.0,48992.5,2.66
002151.SZ,20200605,15,1871.57,0.0,48992.5,3.82
002151.SZ,20200529,15,1871.57,0.0,48992.5,3.82
002151.SZ,20200522,15,3571.57,0.0,48992.5,7.29
002151.SZ,20200515,15,3571.57,0.0,48992.5,7.29
002151.SZ,20200508,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200430,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200424,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200417,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200410,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200403,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200403,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200327,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200320,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200313,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200306,17,5301.57,0.0,48992.5,10.82
002151.SZ,20200228,15,4301.57,0.0,48992.5,8.78
